CPUID:,0x906ED
Processor:,Intel Core i7 9700K (Coffee Lake)
Platform:,LGA 1151 (Socket H4)
Revision:,R0
Lithography:,14nm

Session start:,22:14:57 - November 02 - 2020

Time,Core 0 Temp. (�),Core 1 Temp. (�),Core 2 Temp. (�),Core 3 Temp. (�),Core 4 Temp. (�),Core 5 Temp. (�),Core 6 Temp. (�),Core 7 Temp. (�),,Core 0,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 1,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 2,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 3,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 4,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 5,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 6,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 7,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),CPU 0 Power,
22:18:27 11/02/20,40,43,41,39,44,39,37,35,,,30,56,9,4492.31,,30,57,19,4492.31,,31,62,14,4592.13,,29,56,9,4492.31,,30,53,6,4492.31,,29,55,12,4492.31,,29,56,6,4492.31,,29,58,9,4492.31,13.7,
22:18:37 11/02/20,34,33,32,31,33,31,31,31,,,30,56,5,2196.24,,30,57,6,2196.24,,31,62,11,2196.24,,29,56,5,2196.24,,30,53,5,2196.24,,29,55,2,2196.24,,29,56,3,2196.24,,29,58,5,2196.24,5.2,
22:18:47 11/02/20,33,33,31,31,32,30,31,31,,,30,56,8,3494.02,,30,57,3,3494.02,,31,62,8,3494.02,,29,56,4,3494.02,,30,53,3,3494.02,,29,55,3,3494.02,,29,56,1,3494.02,,29,58,4,3494.02,4.7,
22:18:57 11/02/20,32,31,31,31,31,29,30,30,,,30,56,10,1197.95,,30,57,8,1197.95,,31,62,12,1197.95,,29,56,4,1197.95,,30,53,5,1197.95,,29,55,4,1197.95,,29,56,2,1197.95,,29,58,2,1197.95,5.5,
22:19:07 11/02/20,34,32,33,32,33,32,32,31,,,30,56,2,4492.31,,30,57,3,4492.31,,31,62,2,4592.13,,29,56,6,4592.13,,30,53,6,4592.13,,29,55,5,4592.13,,29,56,2,4592.13,,29,58,6,4292.65,8.7,
22:19:17 11/02/20,33,32,32,32,32,31,32,32,,,30,56,16,2795.21,,30,57,34,2795.21,,31,62,22,2795.21,,29,56,16,2795.21,,30,53,13,2795.21,,29,55,13,2795.21,,29,56,9,2795.21,,29,58,16,2795.21,21.1,
22:19:27 11/02/20,33,32,33,31,31,30,32,31,,,30,56,6,4092.99,,30,57,5,4092.99,,31,62,6,4092.99,,29,56,3,4092.99,,30,53,3,4092.99,,29,55,3,4092.99,,29,56,6,4092.99,,29,58,6,4092.99,5.9,
22:19:37 11/02/20,33,33,33,32,32,31,31,31,,,30,56,2,4392.48,,30,57,9,4392.48,,31,62,3,4392.48,,29,56,5,4392.48,,30,53,6,4092.99,,29,55,2,4092.99,,29,56,0,4092.99,,29,58,3,4092.99,7.5,
22:19:47 11/02/20,33,36,34,32,34,32,32,32,,,30,56,11,4492.31,,30,57,19,4592.13,,31,62,8,4592.13,,29,56,11,4592.13,,30,53,6,4592.13,,29,55,8,4592.13,,29,56,6,4592.13,,29,58,12,4592.13,23.1,
22:19:57 11/02/20,33,32,33,31,32,31,32,31,,,30,56,6,798.63,,30,57,17,798.63,,31,62,7,4592.13,,29,56,3,4492.31,,30,53,8,4592.13,,29,55,4,4592.13,,29,56,0,4592.13,,29,58,8,4592.13,12.0,
22:20:07 11/02/20,33,34,33,31,32,30,30,30,,,30,56,8,4392.48,,30,57,11,4392.48,,31,62,6,4392.48,,29,56,9,4392.48,,30,53,9,4392.48,,29,55,4,4392.48,,29,56,3,4392.48,,29,58,12,4392.48,10.0,
22:20:17 11/02/20,35,36,35,33,35,33,33,33,,,30,56,8,4292.65,,30,57,17,4292.65,,31,62,8,4292.65,,29,56,6,4292.65,,30,53,5,4292.65,,29,55,3,4292.65,,29,56,8,4292.65,,29,58,6,4292.65,12.9,
22:20:27 11/02/20,32,31,32,30,31,30,31,30,,,30,56,9,3593.84,,30,57,23,3593.84,,31,62,12,3593.84,,29,56,12,3593.84,,30,53,8,3593.84,,29,55,5,3593.84,,29,56,3,3593.84,,29,58,9,3593.84,13.0,
22:20:37 11/02/20,33,32,33,31,33,32,32,32,,,30,56,9,4492.31,,30,57,8,4492.31,,31,62,3,4592.13,,29,56,5,4592.13,,30,53,8,4592.13,,29,55,0,4592.13,,29,56,1,4592.13,,29,58,7,4592.13,8.4,
22:20:47 11/02/20,33,33,32,31,33,31,31,31,,,30,56,3,4492.31,,30,57,22,4592.13,,31,62,14,4592.13,,29,56,9,4592.13,,30,53,6,4592.13,,29,55,5,4592.13,,29,56,1,4592.13,,29,58,6,4592.13,5.1,
22:20:57 11/02/20,33,32,32,31,32,30,31,29,,,30,56,8,2495.73,,30,57,20,2495.73,,31,62,8,2495.73,,29,56,9,2495.73,,30,53,6,2495.73,,29,55,8,2495.73,,29,56,6,2495.73,,29,58,12,2495.73,7.0,
22:21:07 11/02/20,33,33,33,31,32,31,31,30,,,30,56,7,3194.53,,30,57,9,3194.53,,31,62,12,3194.53,,29,56,3,3194.53,,30,53,6,3194.53,,29,55,4,3194.53,,29,56,0,3194.53,,29,58,7,2895.04,11.0,
22:21:17 11/02/20,33,33,33,31,34,32,33,31,,,30,56,6,4492.31,,30,57,15,4492.31,,31,62,7,4492.31,,29,56,6,4492.31,,30,53,11,4492.31,,29,55,1,4492.31,,29,56,1,4492.31,,29,58,3,4492.31,4.8,
22:21:27 11/02/20,32,32,32,30,32,31,31,29,,,30,56,7,2196.24,,30,57,8,2196.24,,31,62,8,2196.24,,29,56,3,2196.24,,30,53,8,2196.24,,29,55,3,2196.24,,29,56,1,2196.24,,29,58,6,2196.24,8.8,
